"","Period","Total Generation","Coal","Natural Gas","Nuclear","Renewable","Petroleum","Other"
"1",2006,4064702,1990511,816441,787219,385772,64166,27151
"2",2007,4156745,2016456,896590,806425,352748,65739,25684
"3",2008,4119388,1985801,882981,806208,380932,46242,23511
"4",2009,3950331,1755904,920979,798855,417724,38936,22560
"5",2010,4125060,1847290,987697,806968,427376,37061,24168
"6",2011,4100141,1733430,1013689,790204,513336,30182,25720
"7",2012,4047765,1514043,1225894,769331,494573,23190,25685
"8",2013,4065964,1581115,1124836,789016,522073,27164,26441
"9",2014,4093606,1581710,1126609,797166,538580,30231,25483
"10",2015,4087381,1356057,1335068,797178,549526,28443,26202
