rating,school,address
"
      10
    ",Beverly Cleary School,"1915 NE 33rd, Portland, OR 97212"
"
      10
    ",Laurelhurst Elementary School,"840 NE 41st Ave, Portland, OR 97232"
"
      10
    ",West Sylvan Middle School,"8111 SW West Slope Dr, Portland, OR 97225"
"
      10
    ",Winterhaven School,"3830 SE 14th Ave, Portland, OR 97202"
"
      10
    ",Riverdale Grade School,"11733 SW Breyman Ave, Portland, OR 97219"
"
      10
    ",Stoller Middle School,"14141 NW Laidlaw Rd, Portland, OR 97229"
"
      9
    ",Springville K-8 School,"6655 NW Joss Ave, Portland, OR 97229"
"
      9
    ",Gray Middle School,"5505 SW 23rd Ave, Portland, OR 97239"
"
      9
    ",Hayhurst Elementary School,"5037 SW Iowa St, Portland, OR 97221"
"
      9
    ",Mt Tabor Middle School,"5800 SE Ash St, Portland, OR 97215"
"
      9
    ",Sellwood Middle School,"8300 SE 15th Ave, Portland, OR 97202"
"
      9
    ",Da Vinci Middle School,"2508 NE Everett, Portland, OR 97232"
"
      9
    ",Jackson Middle School,"10625 SW 35th, Portland, OR 97219"
"
      8
    ",Raleigh Hills Elementary School,"5225 SW Scholls Ferry Rd, Portland, OR 97225"
"
      8
    ",Cedar Park Middle School,"11100 SW Park Way, Portland, OR 97225"
"
      8
    ",Alice Ott Middle School,"12500 SE Ramona St, Portland, OR 97236"
"
      8
    ",Beaumont Middle School,"4043 NE Fremont St, Portland, OR 97212"
"
      8
    ",Hosford Middle School,"2303 SE 28th Place, Portland, OR 97214"
"
      8
    ",Sabin Elementary School,"4013 NE 18th Ave, Portland, OR 97212"
"
      8
    ",Skyline Elementary School,"11536 NW Skyline Blvd, Portland, OR 97231"
"
      8
    ",Sunnyside Environmental School,"3421 SE Salmon St, Portland, OR 97214"
"
      8
    ",Southwest Charter School,"0640 SW Bancroft St., Portland, OR 97239"
"
      7
    ",Irvington Elementary School,"1320 NE Brazee St, Portland, OR 97212"
"
      7
    ",Roseway Heights School,"7334 NE Siskiyou St, Portland, OR 97213"
"
      7
    ",Sauvie Island Academy,"14445 NW Charlton Rd, Portland, OR 97231"
"
      7
    ",The Ivy School,"4212 NE Prescott St, Portland, OR 97218"
"
      6
    ",Centennial Middle School,"17650 SE Brooklyn St, Portland, OR 97236"
"
      6
    ",Creston Elementary School,"4701 SE Bush St, Portland, OR 97206"
"
      6
    ",Ron Russell Middle School,"3955 SE 112th Ave, Portland, OR 97266"
"
      5
    ",Floyd Light Middle School,"10800 SE Washington St, Portland, OR 97216"
"
      5
    ",Arleta Elementary School,"5109 SE 66th Ave, Portland, OR 97206"
"
      5
    ",Astor Elementary School,"5601 North Yale St, Portland, OR 97203"
"
      5
    ",Beach Elementary School,"1710 North Humboldt St, Portland, OR 97217"
"
      5
    ",Bridger Elementary School,"7910 SE Market St, Portland, OR 97215"
"
      5
    ",Peninsula Elementary School,"8125 North Emerald Ave, Portland, OR 97217"
"
      5
    ",Trillium,"5420 North Interstate Ave, Portland, OR 97217"
"
      5
    ",Cascade Heights Public Charter School,"15301 SE 92th Avenue, Portland, OR 97222"
"
      5
    ",Portland Village School,"7654 North Delaware St, Portland, OR 97217"
"
      4
    ",Lee Elementary School,"2222 NE 92nd Ave, Portland, OR 97220"
"
      4
    ",Marysville Elementary School,"7733 SE Raymond St, Portland, OR 97206"
"
      4
    ",Ockley Green,"6031 North Montana, Portland, OR 97217"
"
      4
    ",Vernon Elementary School,"2044 NE Killingsworth St, Portland, OR 97211"
"
      4
    ",Vestal Elementary School,"161 NE 82nd Ave, Portland, OR 97220"
"
      3
    ",Harrison Park School,"2225 SE 87th Ave, Portland, OR 97216"
"
      3
    ",Lane Middle School,"7200 SE 60th Ave, Portland, OR 97206"
"
      3
    ",Jefferson High School,"5210 North Kerby Ave, Portland, OR 97217"
"
      3
    ",Self Enhancement Inc/Sei Academy,"3920 North Kerby Ave, Portland, OR 97227"
"
      2
    ",Parkrose Middle School,"11800 NE Shaver St, Portland, OR 97220"
"
      2
    ",Boise-Eliot Elementary School,"620 North Fremont, Portland, OR 97227"
"
      2
    ",Cesar Chavez K-8 School,"5103 North Willis Blvd, Portland, OR 97203"
"
      2
    ",Faubion Elementary School,"3039 NE Portland Blvd, Portland, OR 97211"
"
      2
    ",Rigler Elementary School,"5401 NE Prescott St, Portland, OR 97218"
"
      2
    ",Woodlawn Elementary School,"7200 NE 11th Ave, Portland, OR 97211"
"
      2
    ",Hauton B Lee Middle School,"1121 NE 172nd Ave, Portland, OR 97230"
"
      1
    ",Centennial Learning Center,"17630 SE Main St, Portland, OR 97233"
"
      1
    ",George Middle School,"10000 North Burr, Portland, OR 97203"
"
      1
    ",King Elementary School,"4906 NE 6th Ave, Portland, OR 97211"
"
      1
    ",Lent Elementary School,"5105 SE 97th Ave, Portland, OR 97266"
"
      1
    ",Scott Elementary School,"6700 NE Prescott St, Portland, OR 97218"
