zipcode,elementary_rating,middle_rating,high_rating,city
98607,10.0,9.0,8.0,Vancouver WA
97202,9.0,9.5,6.0,Portland OR
97206,5.75,4.5,6.0,Portland OR
97212,8.75,8.25,7.0,Portland OR
97214,9.0,8.0,5.0,Portland OR
97217,4.8,4.5,4.0,Portland OR
97219,9.0,9.5,8.5,Portland OR
97220,4.0,3.3333333333333335,4.5,Portland OR
97229,9.5,9.5,8.5,Portland OR
97232,10.0,9.5,4.0,Portland OR
97233,2.5,1.0,2.5,Portland OR
98661,4.333333333333333,2.0,3.0,Vancouver WA
98663,4.333333333333333,6.0,6.5,Vancouver WA
98664,3.3333333333333335,2.0,4.5,Vancouver WA
98665,6.333333333333333,5.0,8.0,Vancouver WA
98682,4.5,5.0,4.0,Vancouver WA
98683,6.666666666666667,6.0,8.0,Vancouver WA
98684,5.142857142857143,4.0,3.5,Vancouver WA
98685,7.5,7.0,5.0,Vancouver WA
98686,5.5,7.5,8.0,Vancouver WA
